类别,书名,作者,价格,出版社,商家,简介
仙侠玄幻青春文学,倒吊者：威尼斯之石（《天鹅》系列作者、吸血鬼女王恒殊倾力打造，当当独家赠送小记事本）,恒殊,22.60,新世界出版社,自营,当当独家付精美赠品 天鹅》系列作者、吸血鬼女王恒殊倾力打造！ 今夏，瞩目 天鹅 之前的水都传奇 一部血族文明千年绝密史诗 一段关于水城威尼斯的神秘传说 一场惊涛骇浪的连环阴谋 历史、威尼斯、塔罗与浪漫主义的完美融合
仙侠玄幻青春文学,元尊5·乘风破浪,天蚕土豆,18.20,长江出版社,自营,●《元尊》系列作品是国内畅销书作家天蚕土豆继《斗破苍穹》之后的燃魂幻想新作，自出版上市以来，人气稳步上升，备受市场推崇，读者好评如潮。 ● 《元尊》1-4册上市后引发销售热潮，连续加印，并多次登上大型网销平台的经典畅销榜、青春文学榜等，百度小说风云榜搜索指数进入前三，受到读者热烈追捧！ ●《元尊5?乘风破浪》重点讲述周元在苍玄宗的圣源峰努力进阶的过程。被同门讥讽，他默默地用拳头证明自己的实力；被大家嘲笑，他凭借机智与勇猛寻找机缘，前所 未有的自我突破令人刮目相看 少年人的进取心啊，总能照亮内心，燃起激情！ ●随着《元尊》图书线上销售火爆，线下活动也热烈展开。4月中旬，天蚕土豆读者见面会暨《元尊》签售会在杭州火热举行，之后还将在上海、广州、成都陆续举办，《元尊》IP优势逐渐显现。 ●《元尊》
仙侠玄幻青春文学,剑来 29 座中皆豪杰,烽火戏诸侯,25.20,浙江文艺出版社,搜书图书专营店,★烽火戏诸侯全新长篇力作， 剑进入古典仙侠新世 纵横中文网 量 2.55亿 喜马拉雅有声书播放量 16亿 入选 届 网络文学周2017年“ 网络小说排行榜”年榜 获第二届泛华文网络文学“金键盘”奖 佳故事 意奖 ★ 家网络修订珍藏版 家版权， 修订，让文本内容更为考究。纸质图书 次面世发 ；紧跟作者更文步伐，图书出版并行推进。 ★ 装帧，赠送 美海报及书签 全书装帧 美，随书附赠 美海报、书签、落魄山竹签、请柬和藏书票， 具收藏 值。 ★大千世 ，无奇不有。我陈 安，唯有 剑，可搬山，断江，倒海，降妖，镇魔，敕 ，摘星，摧城，开天！
仙侠玄幻青春文学,剑来 32 登高拖虚舟,烽火戏诸侯,25.20,浙江文艺出版社,搜书图书专营店,★烽火戏诸侯全新长篇力作， 剑进入古典仙侠新世 纵横中文网 量 2.55亿 喜马拉雅有声书播放量 16亿 入选 届 网络文学周2017年“ 网络小说排行榜”年榜 获第二届泛华文网络文学“金键盘”奖 佳故事 意奖 ★ 家网络修订珍藏版 家版权， 修订，让文本内容更为考究。纸质图书 次面世发 ；紧跟作者更文步伐，图书出版并行推进。 ★ 装帧，赠送 美海报及书签 全书装帧 美，随书附赠 美海报、书签、落魄山竹签、请柬和藏书票， 具收藏 值。 ★大千世 ，无奇不有。我陈 安，唯有 剑，可搬山，断江，倒海，降妖，镇魔，敕 ，摘星，摧城，开天！
仙侠玄幻青春文学,剑来23：人生梦复梦,烽火戏诸侯,43.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来22：愿挽天倾者,烽火戏诸侯,43.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来54：人间温柔乡,烽火戏诸侯,43.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超 3.5亿 喜马拉雅有声书播放量超 32亿 入选 2024年度 中国网络文学影响力榜 入选第八届中国 网络文学+ 大会2023 2024年度优秀网文IP转化作品 入选首届中国网络文学周 2017年 中国网络小说排行榜 年榜 获第二届泛华文网络文学 金键盘 奖最佳故事创意奖 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠完结藏书票（套装独享）、光栅卡（套装独享）、烽火亲笔题写海报、书签、吴霜降青天手书、趣味贴纸，极具收藏价值。 ★ 大千世界，无奇不有。 我陈平安，唯有一剑 ， 可搬山，断江，倒海，降妖，镇魔，敕
仙侠玄幻青春文学,剑来46：人间半部书,烽火戏诸侯,43.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超3.14亿 喜马拉雅有声书播放量超25亿 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 获第二届泛华文网络文学 金键盘 奖最佳故事创意奖 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠烽火手写赠言海报、书签，落魄山信笺，耳报神宝典，竹叶异型书签，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来20：饮者留其名,烽火戏诸侯,41.40,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.86亿 喜马拉雅有声书播放量超11.1亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 第二届泛华文网络文学 金键盘 奖 *故事创意奖 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来44：明月落阶前,烽火戏诸侯,43.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
