类别,书名,作者,价格,出版社,商家,简介
大陆原创青春文学,夜幕之下.5：极恶都市,三九音域/磨铁文化,35.80,北京联合出版有限公司,自营,★网络原名《我在精神病院学斩神》，番茄小说网高人气作品，口碑作者三九音域成名之作，200多万人在读，100多万读者在线点评，均分9.8，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，使用128g铜版纸印刷；随书赠品丰富多样，含诸神病患简介卡*3 护工大白方卡*1 病院员工职务表*1。 ★新增三千字独家番外《雨崩 雨宫晴辉》。 ★若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹！ ★大夏境内，神明禁行！
大陆原创青春文学,夜幕之下.6：神祸降临,三九音域/磨铁文化,35.80,北京联合出版有限公司,自营,★网络原名《我在精神病院学斩神》，番茄小说网高人气作品，口碑作者三九音域成名之作，200多万人在读，100多万读者在线点评，均分9.8，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，使用128g铜版纸印刷；随书赠品丰富多样，含诸神病患简介卡*2 上邪会邮轮登船券*1 三神器烫色卡*3。 ★新增三千字独家番外《大夏 蓝雨小队》。 ★若黯夜终临，吾必立于万万人前，横刀向渊，血染天穹！ ★大夏境内，神明禁行！
大陆原创青春文学,地球上线.2,莫晨欢/磨铁文化,32.40,天津人民出版社,自营,★高人气作者莫晨欢经典代表作，《地球上线》第二册震撼上市。 ★年度*佳末世无限流小说，入坑无限流***之作。 ★新增千字番外《同望明月》，装帧升级，封面更显酷炫。 ★内含8P精美彩插，再现傅闻夺教唐陌用枪的名场面；更还原了副本游戏中的绝美 玻璃花房 场景。 ★随书还有三种赠品：超大尺寸傅闻夺唐陌精美海报；黑塔道具Q萌贴纸；狼外婆马赛克卡牌、红桃王后格雷亚卡牌。 ★叮咚！欢迎玩家进入游戏！叮咚，游戏愉快！
大陆原创青春文学,女配不想让主角分手：全二册,漆瞳/磨铁文化,45.40,国际文化出版公司,自营,★晋江文学城高人气作品《女配不想让主角分手》，站内收藏35w ，积分43亿 ，口碑作者漆瞳成名之作，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附多P精美彩插；随书赠品丰富多样，含主角团人设卡（内含人设卡4张 卡套一个） 独家番外论坛折页册 宫殿藏书票*2 赠品信封袋。 ★实体出版新增4.5万字独家番外，衍情在平行世界也拥有了稳稳的幸福生活。 ★叛逆女配沈挽情 腹黑反派谢无衍。
大陆原创青春文学,青梅屿,回南雀/大鱼文化,41.20,江苏凤凰文艺出版社,自营,高考结束，余棉遇见了大九岁的雁空山。 一个神秘又英俊的男人，他是全岛的理想型。 他说你喜欢青梅屿，所以也会喜欢我。 余棉想让雁空山的情绪颜色变成 粉 ，但突然有一天，雁空山就 黄 了。 1.人气口碑作者回南雀*力作，极具畅销实力！ 《青梅屿》，长佩文学网收藏10W ，评论8W 。 《青梅屿》广播剧已于2020年9月上线。 《青梅屿》微博超话阅读量300万 作者回南雀微博粉丝十五万，超话阅读量684万。
大陆原创青春文学,入梦金鱼,严雪芥/悦读纪,27.00,青岛出版社,自营,1.在那个潮湿迷幻的南方小城，康盂树蓦然闯入黎青梦的人生，是一个无法预料的奇迹。 2.是落魄的青豆公主与她的国民的童话故事，也是落难的千金小姐与痞帅的小镇青年的夏日狂想曲。 3.晋江实力口碑作者严雪芥《坠落春夜》《风眼蝴蝶》之后又一浪漫治愈的救赎之作。 4. 当地球后的晚上，载你去翡冷翠的飞机飞过我的头顶，我就在底下大喊一句 喊什么？ 等真到地球后那个晚上，你会听见的。 5.附赠独家番外《如梦般的私会》。 6.随书赠送精美海报、书签、明信片、机票。
大陆原创青春文学,凤逆天下（典藏版）（人气作家路非经典作品，随书附赠：精美海报+Q版书签+独家番外）,路非/悦读纪,156.00,青岛出版社,自营,1．就算灵魂在颤抖，心也镇定不乱，手中的剑也绝不会被撼动！既厉害又危险的天才杀手却突然变成举国皆知的废物。十二岁的少女想要在陌生的大陆上变强，只能踏着敌人的鲜血一步一步爬上去。 2.人气作家路非经典作品，本次出版的是典藏版，套装8册，装帧精美，适合收藏。 3.本书曾在《飒漫画》火热连载，大受欢迎。 5.随书附赠独家番外。 6.随书赠送精美海报、书签、Q版明信片
大陆原创青春文学,庆余年·北海有雾（陈道明、张若昀等主演电视剧原著小说，修订版第三卷，双封面随机发送）,猫腻,21.50,人民文学出版社,自营,热血激情 气势磅礴 猫腻 封神之作 一经连载 点击量达数千万 大型电视连续剧 根据同名小说改编 人气明星 张若昀、肖战、李沁、郭麒麟 殿堂级戏骨 陈道明、吴刚 等震撼出演
大陆原创青春文学,锦夜:独家珍藏版小狮著春风文艺出版社9787531343325 ; 978-7-5313-4332-5,小狮,23.37,春风文艺出版社,百特图书专营店,风头无两！绝版闪耀！《锦夜》畅销四十万册后霸气庆功结集《花火》主编小狮从业7年来首次跨界之作独木舟创作全新短篇力挺超值赠品海纳集合锋芒凛冽的少年群像：不惜一切执死守护，爱情梦想步步为营如果你冷，如果世界黑暗。化作火柴，寸寸为你焚燃，我也甘愿。
大陆原创青春文学,浮生物语·4下天衣侯人（再版）,裟椤双树,23.70,长江文艺出版社,自营,●知音动漫火爆IP《浮生物语》珍藏纪念版 全新双封套装设计 重版归来~裟椤双树：畅销作家，中国著名幻想小说家。2012年、2013年连续入选第七届、第八届中国作家富豪榜上榜作家。其作品既有旖旎浪漫的古风，又有现代视觉系风味，个人风格突出。 ●精彩剧情，环环相扣 看老板娘夫妇如何化解深海谜局鱼门国中看似一片祥和，实则谜案重重，危机四伏，【夜书低唱】【窃影之人】【乌川业火】【天衣之困】 身为龙的敖炽为何能轻易进入鱼门国？神秘莫测的鱼门国度究竟还埋藏着怎样的秘密？老板娘一家能否 脱狱 而出？ ●收录全新未公开番外故事，揭秘老板娘夫妇澳洲之旅的*日常~ ●知音动漫携手鹿荷打造全新封面图 由创作过奥斯卡获奖电影《水形物语》海报的超人气画师鹿荷独家手绘，鹿荷笔触细腻，意境缥缈，具有强烈的个人特质和丰富的想象力，其
