类别,书名,作者,价格,出版社,商家,简介
青春校园文学,如果森林有童话（BE美学天花板，60万人为之落泪的至纯梦幻之作。）,奈奈/欣欣向爱,45.00,湖南文艺出版社,自营,暂无简介
青春校园文学,如果森林有童话 刷边版 （BE美学天花板，60万人为之落泪的至纯梦幻之作。）,奈奈/欣欣向爱,45.00,湖南文艺出版社,自营,暂无简介
青春校园文学,高温不退完结篇【当当网特签版】人气作者三三娘著,三三娘,29.20,长江出版社,自营,人气作者三三娘高口碑破镜重圆之作 商业大佬 陈又涵 矜贵公子 叶开 年上|竹马竹马|双向暗恋|追妻火葬场 实体新增独家番外《毕业》。 随书附送多重赠品：读信海报、经幡时光卡、礼物清单。 内外双封，选用200g高阶映画特种纸印刷，以【雪山】和【经幡】为主元素进行设计，呼应文中小开回云南的藏区找又涵哥哥和好的场景。 你们叶家眼高于顶，但你这颗星星我陈又涵摘定了。
青春校园文学,一斛珠.1 豆瓣阅读TOP3作品，人气作家尼卡虐心之作。,尼卡/欣欣向爱,46.80,北京燕山出版社,自营,暂无简介
青春校园文学,"小小姐星愿大陆4--永恒星钻（升级版）随书附赠：彭柳蓉亲笔签名精美书签+小MM独家定制""淑女范儿布艺随身袋""",暂无作者信息,7.20,吉林摄影出版社,自营,暂无简介
青春校园文学,请不要暗恋我 全2册 作者特签版 作者有厌最新甜蜜校园暗恋文,有厌/大鱼文化,59.20,江苏凤凰文艺出版社,自营,《你不像任何人》作者 有厌 甜蜜校园暗恋文 钝感力直球少女 姜织 恋爱脑校草学霸 沈译驰 姜织关注了沈译驰两年半， 转学前一天，她没忍住对他表明了心意。 不料计划有变，姜织仍留在原校， 可沈译驰看她的眼神怎么有点怪 1.畅销书《你不像任何人》作者有厌最新甜蜜校园暗恋文，晋江首章4万点击，共2亿积分。高考线与暗恋线并行，励志又美好，十分贴近读者生活，共鸣感满满，是一本治愈精神内耗的小甜饼。各平台自来水推荐，读者评价真情实感。 2.钝感力直球少女 姜织 恋爱脑校草学霸 沈译驰，由一场告白乌龙引起的错位心动，会自我脑补、自我攻略的恋爱脑男主最可爱了！ 3.封面采用230g晶碧特种纸，书名采用磨砂UV 激凸工艺，一套双册，装帧精美。新增3000字独家番外，随书附赠精美赠品，物有所值。
青春校园文学,满分恋爱公式（ 网络原名：维持女配的尊严）,淅和,32.20,敦煌文艺出版社,自营,新晋人气作家淅和校园群像代表作，网络原名《维持女配的尊严》。 文科天才VS理科学霸，学习小分队正式集结！ 实体书新增3000字独家番外《想见你》。 内外双封设计，选用200g高阶映画特种纸印刷。内含8P精美彩插，选用100g纯质纸印刷，特邀知名画师绘制氛围感十足的场景，还原书中【赏海边落日】【私奔跨年】两个经典情节。 祝岁岁欢愉，年年胜意。想要的都拥有，得不到的皆会以另一种形式归来。
青春校园文学,请不要暗恋我（全2册） 作者有厌最新甜蜜校园暗恋文,有厌/大鱼文化,59.20,江苏凤凰文艺出版社,自营,《你不像任何人》作者 有厌 甜蜜校园暗恋文 钝感力直球少女 姜织 恋爱脑校草学霸 沈译驰 姜织关注了沈译驰两年半， 转学前一天，她没忍住对他表明了心意。 不料计划有变，姜织仍留在原校， 可沈译驰看她的眼神怎么有点怪 1.畅销书《你不像任何人》作者有厌最新甜蜜校园暗恋文，晋江首章4万点击，共2亿积分。高考线与暗恋线并行，励志又美好，十分贴近读者生活，共鸣感满满，是一本治愈精神内耗的小甜饼。各平台自来水推荐，读者评价真情实感。 2.钝感力直球少女 姜织 恋爱脑校草学霸 沈译驰，由一场告白乌龙引起的错位心动，会自我脑补、自我攻略的恋爱脑男主最可爱了！ 3.封面采用230g晶碧特种纸，书名采用磨砂UV 激凸工艺，一套双册，装帧精美。新增3000字独家番外，随书附赠精美赠品，物有所值。
青春校园文学,高温不退,三三娘,29.20,长江出版社,自营,人气作者三三娘高口碑破镜重圆之作 商业大佬 陈又涵 矜贵公子 叶开 年上|竹马竹马|双向暗恋|追妻火葬场 实体新增独家番外《沾光》，书中印有一句作者印特签。 随书附送四重赠品：双面明信片、精美海报、Q版小卡、微信聊天卡。 绝美装帧，巧思设计，含异形模切、烫银等多重工艺！ 典藏拉页彩插，定格书中经典场景【斐济的海风吹散秘密】。 我十七岁的秘密，我喜欢你。
青春校园文学,三步上篮3 完结篇 高人气作者张鼎鼎作品 燃爆青春校园（随书附赠猫咪折立卡 +Q萌幸运符+跃幅高颜值海报+独家全新番外）,张鼎鼎,45.00,广东旅游出版社,自营,Chapter 1 三个人的家宴 Chapter 2 阴霾 Chapter 3 翻盘！赛场血花 Chapter 4 呆萌少年 Chapter 5 温度计 八强赛 Chapter 6 华丽的转身 Chapter 7 打疯了！ Chapter 8 场外静音 Chapter 9 舍不得 Chapter 10各自成长 Chapter 11 关键先生 Chapter 12 绝杀！空中接力 Chapter 13 患得又患失 Chapter 14 自由 Chapter 15 死生契阔 番外一 澡堂里的玩笑 番外二 所谓的自作自受 番外三 中医馆里的移民往事 番外四 天茗球队大提问
