类别,书名,作者,价格,出版社,商家,简介
古代言情青春文学,迷侠记（施定柔的武侠言情）,施定柔,35.80,浙江文艺出版社,自营,喜欢作者写的故事，在轻风细雨中，在薄薄云雾中，在飞雪漫天中，每个人都有属于自己的人生际遇，就像慕容无风和楚荷衣，就像唐潜和吴悠，就像慕容子忻和苏风沂，逃无可逃，避无可避。如何打破专属自己的舒适区，迎来与自己 共舞 之人，是要不断探究的课题，也是一项难题，这远比江湖风雨带来的震撼更大。 笔底有古龙的风致，书外有金庸的情怀，可能是 武侠年 的*杰出作品。此书出于女性作家之手，文字优美，笔力却雄浑。虽然是以武侠的方式写作一部言情小说，却能从人生的残缺和自我的寻找入手，令人震惊。 《新京报》 定柔笔下的江湖，宛如水墨画般飘逸灵动，既得古龙之神韵，更兼金庸之气势，塑造出令无数网络读者为之神迷不已的荷衣和无风两位传奇人物。定柔笔下的江湖，从古龙的另类里多添了几缕诧异和柔情。文笔云淡风清，开篇犹
古代言情青春文学,海晏河清5·摆撼鱼龙我自闲 完结篇 （网络原名《再世权臣》，长佩金榜佳作，古风权谋经典代表作）,天谢,54.80,长江出版社,自营,暂无简介
古代言情青春文学,金陵春,吱吱,128.00,重庆出版社,自营,★ 阅文集团白金作家吱吱经典代表作七周年典藏版！影视剧改编持续推进中，不容错过！ ★ 她是寄人篱下的周二小姐，他是睥睨红尘的程家四爷。如果不是机缘巧合，他可能终其一生都不知道程家的角落里有个如猫般令人心疼的小丫头！ ★ 貌美小白花女主 VS 清冷如谪仙腹黑男主。 ★ 随书赠送古风海报 明信片。
古代言情青春文学,天配良缘之商君(全二册）,浅绿,69.20,新世界出版社,自营,女扮男装的风华女子，巾帼不让须眉， 她为替父报仇，坚忍穿行在乱世红尘 她的绝世容貌、她的坚韧气概、 她的盖世武功、她谜一样的身份， 都令她身边的男子望尘莫及 桩桩、潇湘冬儿、秋夜雨寒 联袂推荐 !
古代言情青春文学,将门盛华：吾命为凰（2021年度阅文女频好书第一名，长期蝉联风云榜、月票榜冠军、随书附含两篇超长出版独家番外和镭射票、明,千桦尽落,89.80,重庆出版社,自营,★2021 年度阅文女频好书名 ，长期蝉联风云榜 月票榜冠军。全平台点击过亿，收藏破两百万，赠送两篇超长出版独家番外。 ★继千山茶客、天下归元、潇湘冬儿后一脉相承的 大女主权谋佳作 ，媲美《凤倾天阑》《将门嫡女之定乾坤》《特工皇妃楚乔传》的 女将传奇 。 ★巾帼不让须眉，彰显将门世家 家国情怀 ，女子亦可守家国。女主自强不息，铮铮铁骨，忠君爱国，继承祖父遗志，誓匡扶万民、平定天下。 ★运筹帷幄英姿飒爽女将军 儒雅沉稳胸有沟壑九王爷。不拘泥后宅争斗，妯娌和姐妹无勾心斗角
古代言情青春文学,美人温雅 独家典藏套装（全四册）,林家成,68.70,暂无出版商,自营,一部大气磅礴的权谋史诗，一场惊心动魄的复仇大戏 千万读者持续热荐，畅销作者【十四郎】力挺到底 恩人？恋人？处心积虑充当细作，她身不由己 君王？挚爱？步步为营谋夺帝位，他天下权倾 随书附赠精美书签和两万字独家番外，完美修订，典藏升级！ 推翻《步步惊心》《后宫甄嬛传》残酷宫斗，给你*荡气回肠的朝堂权谋
古代言情青春文学,喜盈门（全4册完结套装）当当网独家赠品：精美缎面丝绸手工刺绣和风笔套/尺套/折扇套 （风骚小公子&霉运世家女起点白金榜首,意千重/记忆坊出品/有容书邦/发行,82.50,北方文艺出版社,自营,★风骚少年郎 霉运世家女=欢喜冤家 他长相招摇、家资万贯，还背着眠花宿柳的恶名； 她命里带煞，被众人远离，但不甘向命运低头。 他们彼此嫌弃，又惺惺相惜 一对被世俗误读的欢喜冤家，一场改写命运的家族情仇 ★蓄谋已久的复仇，厚积薄发之举 他等这一刻，等了太久，久到恩怨已蚀骨。 心甘情愿顶着花花公子、纨绔子弟的恶名； 心甘情愿冒着生命危险与仇人强颜欢笑； 心甘情愿离开混得风生水起的京城，回归故里。 只为这一刻的坦荡从容，不再虚以委蛇。 舍掉的那么多，得到的能否让他一笑泯恩仇，余生与他*在意的人祸福与共？ ★起点白金大神，品质超越同类作品 读者反馈中，作者意千重成为 所有作品都很好看 的高票数作者，情节紧凑，情深意重。 ★全新独家番外|袁司璞篇 小道士清
古代言情青春文学,《一世缘起》 古风BE双女主小说，晋江人气作者[无心谈笑]倾泪之作，演绎极致虐心的师徒情缘。新增独家番外《终于相遇》。,无心谈笑/欣欣向爱,68.00,宁波出版社,自营,暂无简介
古代言情青春文学,海晏河清4·便从麟阁上螭头（网络原名《再世权臣》，长佩金榜佳作，古风权谋经典代表作。新增独家番外）,天谢/欣欣向爱,39.30,长江出版社,北配新华书店旗舰店,暂无简介
古代言情青春文学,龙凤,沉筱之,17.90,北方妇女儿童出版社,自营,1. 女人的一生中，要历经两场征战，方能浴火重生。 其一，是和自己丈夫的感情拉锯战； 其二，是与丈夫小妾的恩宠争夺战。 而她，却身着朝服，顶戴官帽，站在朝堂之上，跟一只斯文败类之精品、衣冠禽兽之绝物斗智斗勇。 这不禁令人很费解。 2. 青梅竹马如若不能长相厮守，日后必定是天涯相隔的，因为他们在儿时，已将缘分用尽了。 3. 因为原来这么长的时光里，有一个人一直在为她挂着念着，她却毫不自知。 有一个人，早已爱她逾生命。 他说，我们会一直一直在一起。
古代言情青春文学,公主凶猛（下）,橘花散里,20.50,长江出版社,自营,你可以与我共度14年，我却不能只爱你5126天。 跨种族恋爱之路虽坎坷，梵宫公主的宿命，我们一起来打破！ 橘花散里继《芥子》《美人难做》后，再奉暖萌青春童话。 独家精彩番外 小狐狸的冒险 ，延续幸福团圆大结局。
古代言情青春文学,迷行记（施定柔的武侠言情）,施定柔,24.30,浙江文艺出版社,自营,喜欢作者写的故事，在轻风细雨中，在薄薄云雾中，在飞雪漫天中，每个人都有属于自己的人生际遇，就像慕容无风和楚荷衣，就像唐潜和吴悠，就像慕容子忻和苏风沂，逃无可逃，避无可避。如何打破专属自己的舒适区，迎来与自己 共舞 之人，是要不断探究的课题，也是一项难题，这远比江湖风雨带来的震撼更大。
